Geohash,Amenity,Bump,Crossing,Entrance,Give_Way,Junction,Noexit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Circle,Turning_Loop
9qh4b,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9q59g,1,0,0,0,0,0,11,0,0,0,4,0,0,1,0
dnq2u,12,0,25,0,0,0,0,62,0,0,0,0,0,27,0
9q5e5,4,0,20,0,0,4,1,0,0,0,0,0,21,47,0
9vk74,21,0,94,0,0,0,0,0,0,0,10,0,16,203,0
9q5fz,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9vk22,9,0,5,0,0,4,1,0,0,0,1,0,10,84,0
9vk3s,9,0,5,0,0,0,0,5,0,0,0,0,2,12,0
9vk3t,5,0,9,0,0,4,0,19,0,0,0,0,2,15,0
9vk3u,4,0,0,0,0,3,1,0,0,0,0,0,3,2,0
9vk3v,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0
9vk3w,39,0,12,0,0,5,0,0,0,0,0,0,23,45,0
9vk3y,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
djupg,17,40,0,0,0,10,0,0,0,0,20,40,29,134,0
9vk45,28,0,13,0,2,0,5,1,0,0,1,0,58,138,0
9vk44,14,0,16,4,0,0,1,8,0,0,0,0,43,115,0
9vk47,18,0,10,0,0,2,9,0,0,0,0,0,44,136,0
9vk3c,4,0,0,0,0,2,2,0,0,0,1,0,11,82,0
9vk3d,17,0,9,0,0,5,0,0,0,0,0,0,36,126,0
9vk3e,3,0,33,0,0,0,0,41,0,0,0,0,4,18,0
9vk3f,2,0,13,0,0,1,0,13,0,0,0,0,4,21,0
9vk42,31,0,0,0,0,0,5,0,0,0,0,0,39,122,0
9vk3h,0,0,70,2,0,0,0,108,0,0,3,0,0,3,0
9vk3j,1,0,11,0,0,0,0,12,0,0,0,0,1,0,0
9vk3k,5,0,0,4,2,5,0,0,0,0,0,0,6,2,0
9vk49,25,0,41,0,9,5,3,20,0,0,8,0,63,162,0
9vk48,43,0,6,0,0,2,2,0,0,0,0,0,69,209,0
9vk3n,34,0,77,0,0,11,1,72,0,0,0,0,42,16,0
9v6t3,39,0,4,6,16,10,4,0,0,0,34,0,79,126,0
9v6k6,3,0,1,0,0,0,0,0,0,0,0,0,5,43,0
djgzk,3,0,9,0,0,0,0,1,0,0,0,0,20,67,0
9vg49,31,0,16,1,0,0,3,25,0,1,0,0,47,124,0
9vg48,13,0,14,2,0,5,0,38,0,2,11,0,43,35,0
9vg41,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0
9vg40,38,0,0,12,0,6,0,6,0,0,4,0,79,68,0
9vg43,8,0,8,0,0,5,0,20,0,0,2,0,13,4,0
9vg42,46,0,33,21,0,13,0,38,0,0,3,0,103,29,0
9vg45,57,1,44,0,0,0,0,19,0,2,0,1,67,54,0
9vg44,8,0,40,7,0,8,0,14,0,0,1,0,44,20,0
9vg47,38,0,31,0,0,6,0,102,0,0,0,0,38,11,0
9vg46,13,0,5,0,0,17,1,21,0,0,0,0,21,2,0
dnq2e,16,0,14,0,0,2,3,13,0,0,0,0,5,21,0
dnq2g,1,0,3,0,0,0,0,3,0,0,2,0,0,19,0
dnq2h,0,0,0,0,0,0,2,31,0,0,0,0,0,11,0
dnq2j,17,0,27,0,0,5,4,13,0,4,0,0,23,27,0
dnq2k,9,0,14,0,0,0,1,17,0,0,0,0,3,21,0
dnq2m,25,0,7,1,0,3,0,47,0,0,5,0,9,13,0
dnq2n,11,2,56,3,0,2,1,0,0,2,0,2,10,33,0
dnq2p,31,3,55,0,0,8,5,82,0,33,0,3,32,49,0
dnq2q,90,0,58,29,0,5,0,9,0,27,22,0,20,11,0
dnq2r,57,0,56,0,0,16,12,43,0,2,0,0,41,10,0
dnq2s,8,0,14,0,0,4,1,0,0,1,0,0,8,4,0
9qh18,25,5,28,0,0,4,35,0,0,20,57,5,66,162,0
9qh19,26,5,16,0,0,9,6,7,0,21,12,5,32,74,0
dnq2v,6,6,2,0,4,2,2,4,0,2,11,6,7,94,0
dnq2w,15,11,22,0,0,0,6,59,0,0,0,12,16,81,0
